connections,concurrency,number of messages,size in bytes,Average Latency in us
32,1,1,2,27
32,1,1,4,14
32,1,1,8,11
32,1,1,16,6
32,1,1,32,5
32,1,1,64,5
32,1,1,128,14
32,1,1,256,14
32,1,1,512,6
32,1,1,1024,9
32,2,1,2,86
32,2,1,4,37
32,2,1,8,32
32,2,1,16,32
32,2,1,32,29
32,2,1,64,36
32,2,1,128,34
32,2,1,256,34
32,2,1,512,44
32,2,1,1024,50
32,4,1,2,32
32,4,1,4,27
32,4,1,8,29
32,4,1,16,26
32,4,1,32,25
32,4,1,64,27
32,4,1,128,23
32,4,1,256,30
32,4,1,512,25
32,4,1,1024,23
32,8,1,2,21
32,8,1,4,23
32,8,1,8,20
32,8,1,16,21
32,8,1,32,22
32,8,1,64,22
32,8,1,128,20
32,8,1,256,22
32,8,1,512,21
32,8,1,1024,37
32,16,1,2,24
32,16,1,4,23
32,16,1,8,31
32,16,1,16,23
32,16,1,32,31
32,16,1,64,23
32,16,1,128,23
32,16,1,256,25
32,16,1,512,25
32,16,1,1024,27
32,32,1,2,42
32,32,1,4,21
32,32,1,8,21
32,32,1,16,22
32,32,1,32,20
32,32,1,64,21
32,32,1,128,20
32,32,1,256,20
32,32,1,512,26
32,32,1,1024,27
32,64,1,2,21
32,64,1,4,20
32,64,1,8,20
32,64,1,16,22
32,64,1,32,29
32,64,1,64,30
32,64,1,128,34
32,64,1,256,28
32,64,1,512,32
32,64,1,1024,32
32,128,1,2,26
32,128,1,4,27
32,128,1,8,24
32,128,1,16,21
32,128,1,32,21
32,128,1,64,21
32,128,1,128,23
32,128,1,256,23
32,128,1,512,27
32,128,1,1024,36
32,256,1,2,24
32,256,1,4,25
32,256,1,8,24
32,256,1,16,25
32,256,1,32,24
32,256,1,64,24
32,256,1,128,24
32,256,1,256,23
32,256,1,512,25
32,256,1,1024,31
32,512,1,2,17
32,512,1,4,4
32,512,1,8,4
32,512,1,16,4
32,512,1,32,6
32,512,1,64,4
32,512,1,128,5
32,512,1,256,119
32,512,1,512,12
32,512,1,1024,12
32,1,2,2,5
32,1,2,4,4
32,1,2,8,4
32,1,2,16,4
32,1,2,32,4
32,1,2,64,4
32,1,2,128,5
32,1,2,256,5
32,1,2,512,5
32,1,2,1024,6
32,2,2,2,6
32,2,2,4,31
32,2,2,8,32
32,2,2,16,94
32,2,2,32,31
32,2,2,64,27
32,2,2,128,25
32,2,2,256,18
32,2,2,512,26
32,2,2,1024,141
32,4,2,2,23
32,4,2,4,22
32,4,2,8,22
32,4,2,16,28
32,4,2,32,23
32,4,2,64,7
32,4,2,128,7
32,4,2,256,6
32,4,2,512,7
32,4,2,1024,10
32,8,2,2,6
32,8,2,4,7
32,8,2,8,6
32,8,2,16,6
32,8,2,32,6
32,8,2,64,6
32,8,2,128,6
32,8,2,256,7
32,8,2,512,7
32,8,2,1024,9
32,16,2,2,6
32,16,2,4,6
32,16,2,8,6
32,16,2,16,6
32,16,2,32,6
32,16,2,64,6
32,16,2,128,6
32,16,2,256,9
32,16,2,512,7
32,16,2,1024,25
32,32,2,2,22
32,32,2,4,23
32,32,2,8,22
32,32,2,16,27
32,32,2,32,27
32,32,2,64,6
32,32,2,128,6
32,32,2,256,6
32,32,2,512,7
32,32,2,1024,9
32,64,2,2,6
32,64,2,4,6
