connections,concurrency,number of messages,size in bytes,Average Latency in us
32,16,2,32768,537
32,16,2,65536,387
32,16,2,131072,539
32,16,2,262144,1020
32,16,2,524288,1946
32,16,2,1048576,4711
32,32,2,2,40
32,32,2,4,25
32,32,2,8,17
32,32,2,16,14
32,32,2,32,7
32,32,2,64,7
32,32,2,128,7
32,32,2,256,7
32,32,2,512,8
32,32,2,1024,9
32,32,2,2048,11
32,32,2,4096,17
32,32,2,8192,27
32,32,2,16384,66
32,32,2,32768,3009
32,32,2,65536,267
32,32,2,131072,602
32,32,2,262144,973
32,32,2,524288,2185
32,32,2,1048576,4897
32,64,2,2,32
32,64,2,4,23
32,64,2,8,24
32,64,2,16,24
32,64,2,32,25
32,64,2,64,27
32,64,2,128,20
32,64,2,256,28
32,64,2,512,22
32,64,2,1024,23
32,64,2,2048,28
32,64,2,4096,33
32,64,2,8192,41
32,64,2,16384,695
32,64,2,32768,501
32,64,2,65536,525
32,64,2,131072,2064
32,64,2,262144,1426
32,64,2,524288,2060
32,64,2,1048576,33930
32,128,2,2,25
32,128,2,4,25
32,128,2,8,23
32,128,2,16,21
32,128,2,32,22
32,128,2,64,21
32,128,2,128,22
32,128,2,256,22
32,128,2,512,23
32,128,2,1024,24
32,128,2,2048,26
32,128,2,4096,2358
32,128,2,8192,55
32,128,2,16384,109
32,128,2,32768,190
32,128,2,65536,1731
32,128,2,131072,483
32,128,2,262144,2687
32,128,2,524288,3411
32,128,2,1048576,7772
32,256,2,2,26
32,256,2,4,26
32,256,2,8,23
32,256,2,16,12
32,256,2,32,5
32,256,2,64,9
32,256,2,128,6
32,256,2,256,6
32,256,2,512,7
32,256,2,1024,9
32,256,2,2048,11
32,256,2,4096,1783
32,256,2,8192,774
32,256,2,16384,213
32,256,2,32768,11084
32,256,2,65536,3004
32,256,2,131072,6407
32,256,2,262144,16502
32,256,2,524288,4031
32,256,2,1048576,20712
32,512,2,2,21
32,512,2,4,7
32,512,2,8,4
32,512,2,16,4
32,512,2,32,4
32,512,2,64,10
32,512,2,128,20
32,512,2,256,16
32,512,2,512,18
32,512,2,1024,20
32,512,2,2048,667
32,512,2,4096,548
32,512,2,8192,3686
32,512,2,16384,2526
32,512,2,32768,1364
32,512,2,65536,530
32,512,2,131072,557
32,512,2,262144,1544
32,512,2,524288,6736
