connections,concurrency,number of messages,size in bytes,Average Latency in us
32,16,2,65536,524
32,16,2,131072,486
32,16,2,262144,1062
32,16,2,524288,2683
32,16,2,1048576,4429
32,32,2,2,13
32,32,2,4,11
32,32,2,8,9
32,32,2,16,9
32,32,2,32,6
32,32,2,64,6
32,32,2,128,5
32,32,2,256,7
32,32,2,512,7
32,32,2,1024,9
32,32,2,2048,10
32,32,2,4096,15
32,32,2,8192,71
32,32,2,16384,60
32,32,2,32768,274
32,32,2,65536,247
32,32,2,131072,789
32,32,2,262144,794
32,32,2,524288,2171
32,32,2,1048576,3911
32,64,2,2,27
32,64,2,4,17
32,64,2,8,22
32,64,2,16,28
32,64,2,32,21
32,64,2,64,19
32,64,2,128,9
32,64,2,256,5
32,64,2,512,5
32,64,2,1024,6
32,64,2,2048,8
32,64,2,4096,12
32,64,2,8192,234
32,64,2,16384,45
32,64,2,32768,345
32,64,2,65536,269
32,64,2,131072,551
32,64,2,262144,1294
32,64,2,524288,1862
32,64,2,1048576,3600
32,128,2,2,25
32,128,2,4,28
32,128,2,8,7
32,128,2,16,5
32,128,2,32,16
32,128,2,64,4
32,128,2,128,3
32,128,2,256,4
32,128,2,512,18
32,128,2,1024,27
32,128,2,2048,17
32,128,2,4096,17
32,128,2,8192,408
32,128,2,16384,189
32,128,2,32768,161
32,128,2,65536,304
32,128,2,131072,1071
32,128,2,262144,939
32,128,2,524288,2004
32,128,2,1048576,4122
32,256,2,2,24
32,256,2,4,4
32,256,2,8,3
32,256,2,16,3
32,256,2,32,3
32,256,2,64,11
32,256,2,128,20
32,256,2,256,4
32,256,2,512,3
32,256,2,1024,5
32,256,2,2048,6
32,256,2,4096,367
32,256,2,8192,101
32,256,2,16384,190
32,256,2,32768,201
32,256,2,65536,318
32,256,2,131072,490
32,256,2,262144,884
32,256,2,524288,2150
32,256,2,1048576,3815
32,512,2,2,27
32,512,2,4,25
32,512,2,8,23
32,512,2,16,20
32,512,2,32,20
32,512,2,64,6
32,512,2,128,4
32,512,2,256,5
32,512,2,512,6
32,512,2,1024,80
32,512,2,2048,669
32,512,2,4096,912
32,512,2,8192,2879
32,512,2,16384,1045
32,512,2,32768,624
32,512,2,65536,325
32,512,2,131072,448
32,512,2,262144,922
32,512,2,524288,1897
32,512,2,1048576,4814
32,1,4,2,7
32,1,4,4,5
32,1,4,8,23
32,1,4,16,4
32,1,4,32,8
32,1,4,64,4
32,1,4,128,6
32,1,4,256,5
32,1,4,512,7
32,1,4,1024,90
32,1,4,2048,10
32,1,4,4096,13
32,1,4,8192,22
32,1,4,16384,66
32,1,4,32768,72
32,1,4,65536,469
32,1,4,131072,1613
32,1,4,262144,1593
32,1,4,524288,6414
32,1,4,1048576,9902
32,2,4,2,39
32,2,4,4,32
32,2,4,8,29
32,2,4,16,23
32,2,4,32,28
32,2,4,64,21
32,2,4,128,6
32,2,4,256,9
32,2,4,512,19
32,2,4,1024,19
32,2,4,2048,19
32,2,4,4096,25
32,2,4,8192,30
32,2,4,16384,73
32,2,4,32768,122
32,2,4,65536,211
32,2,4,131072,1048
32,2,4,262144,1849
32,2,4,524288,3501
32,2,4,1048576,7049
32,4,4,2,50
32,4,4,4,33
32,4,4,8,24
32,4,4,16,20
32,4,4,32,25
32,4,4,64,25
32,4,4,128,20
32,4,4,256,26
32,4,4,512,21
32,4,4,1024,23
32,4,4,2048,35
32,4,4,4096,33
32,4,4,8192,34
32,4,4,16384,102
32,4,4,32768,103
32,4,4,65536,700
32,4,4,131072,509
32,4,4,262144,999
32,4,4,524288,2328
32,4,4,1048576,4247
32,8,4,2,22
32,8,4,4,154
32,8,4,8,32
32,8,4,16,26
32,8,4,32,30
32,8,4,64,18
32,8,4,128,21
32,8,4,256,20
32,8,4,512,22
32,8,4,1024,22
32,8,4,2048,27
32,8,4,4096,28
32,8,4,8192,33
32,8,4,16384,48
32,8,4,32768,488
32,8,4,65536,968
32,8,4,131072,602
32,8,4,262144,789
32,8,4,524288,2838
32,8,4,1048576,4796
32,16,4,2,29
32,16,4,4,30
32,16,4,8,25
32,16,4,16,23
32,16,4,32,29
32,16,4,64,30
32,16,4,128,29
32,16,4,256,26
32,16,4,512,24
32,16,4,1024,27
32,16,4,2048,25
32,16,4,4096,35
32,16,4,8192,37
32,16,4,16384,379
32,16,4,32768,147
32,16,4,65536,466
32,16,4,131072,518
32,16,4,262144,1104
32,16,4,524288,1904
32,16,4,1048576,4744
32,32,4,2,23
32,32,4,4,20
32,32,4,8,21
32,32,4,16,26
32,32,4,32,25
32,32,4,64,22
32,32,4,128,23
32,32,4,256,21
32,32,4,512,24
32,32,4,1024,20
32,32,4,2048,32
32,32,4,4096,35
32,32,4,8192,30
32,32,4,16384,461
32,32,4,32768,228
32,32,4,65536,252
32,32,4,131072,435
32,32,4,262144,1178
32,32,4,524288,1916
32,32,4,1048576,5040
32,64,4,2,29
32,64,4,4,21
32,64,4,8,26
32,64,4,16,24
32,64,4,32,27
32,64,4,64,24
32,64,4,128,22
32,64,4,256,8
32,64,4,512,23
32,64,4,1024,27
32,64,4,2048,29
32,64,4,4096,27
32,64,4,8192,1049
32,64,4,16384,80
32,64,4,32768,586
32,64,4,65536,410
32,64,4,131072,422
32,64,4,262144,977
32,64,4,524288,1797
32,64,4,1048576,12033
32,128,4,2,26
32,128,4,4,23
32,128,4,8,14
32,128,4,16,6
32,128,4,32,6
32,128,4,64,6
32,128,4,128,6
32,128,4,256,7
32,128,4,512,7
32,128,4,1024,8
32,128,4,2048,523
32,128,4,4096,89
32,128,4,8192,223
32,128,4,16384,208
32,128,4,32768,777
32,128,4,65536,1038
32,128,4,131072,3182
32,128,4,262144,3444
32,128,4,524288,11911
32,128,4,1048576,4216
32,256,4,2,23
32,256,4,4,4
32,256,4,8,24
32,256,4,16,22
32,256,4,32,20
32,256,4,64,20
32,256,4,128,21
32,256,4,256,18
32,256,4,512,16
32,256,4,1024,17
32,256,4,2048,2547
32,256,4,4096,258
32,256,4,8192,456
32,256,4,16384,564
32,256,4,32768,726
32,256,4,65536,999
32,256,4,131072,727
32,256,4,262144,983
32,256,4,524288,4050
32,256,4,1048576,3860
32,512,4,2,5
32,512,4,4,5
32,512,4,8,5
32,512,4,16,4
32,512,4,32,6
32,512,4,64,7
32,512,4,128,3
32,512,4,256,4
32,512,4,512,57
32,512,4,1024,16
32,512,4,2048,63
32,512,4,4096,77
32,512,4,8192,87
32,512,4,16384,117
32,512,4,32768,148
